Sector,core_programming__basic_prob,core_programming__intermediate_prob,core_programming__advanced_prob,data_engineering_pipelines__basic_prob,data_engineering_pipelines__intermediate_prob,data_engineering_pipelines__advanced_prob,ml_ai__basic_prob,ml_ai__intermediate_prob,ml_ai__advanced_prob,analytics_stats__basic_prob,analytics_stats__intermediate_prob,analytics_stats__advanced_prob,bi_viz__basic_prob,bi_viz__intermediate_prob,bi_viz__advanced_prob,cloud__basic_prob,cloud__intermediate_prob,cloud__advanced_prob,db_storage__basic_prob,db_storage__intermediate_prob,db_storage__advanced_prob,productivity_workflow__basic_prob,productivity_workflow__intermediate_prob,productivity_workflow__advanced_prob,soft_skills__core_prob,soft_skills__leadership_prob,domain_specific__none_prob
Manufacturing,0.04546075402880034,0.03120396421985125,-0.0021067685379642827,-0.018643567649963656,-0.14706064522899734,-0.05687649870996092,0.08173930345587718,-0.016190287053951063,-0.005005404832879035,0.004979497474579486,0.07905607439918014,-0.009013094499024751,0.15262248915319976,0.06817816316106023,0.09334495460123954,-0.02327798623708241,-0.03147826618516218,0.04903700851539786,-0.060012398713427395,-0.05964136190731739,-0.0017854321320807977,-0.0028661752745517133,-0.051930096050384594,-0.0027390143115400578,0.11755120026365862,-0.006068242984183181,0.19880650484067025
Media,0.12679409281739817,0.09815863251824342,-0.0021066745106913935,0.02624358731999861,0.24535559953441194,0.09975606826323383,0.13922477253431645,0.2043149424569825,0.09609279511134375,0.03926042682483999,0.04805863349215769,0.03702776440980819,-0.0013510736178324323,0.11232564051688887,-0.013923848209195,0.14445411564174268,0.000991197714958078,0.07129640780837421,0.22172256521247424,0.07517120212759171,0.08031879307534823,0.004743542194395545,0.1098729822982123,-0.0027725205688328074,0.19924734853914328,0.047344152528851935,-0.14877586273278912
Mining & Metals,0.3698599277133965,-0.11243236242213206,-0.002107991768266577,-0.03369363406989046,0.5794894919643756,-0.23067110952617395,-0.2045947315965466,-0.20889145907255546,-0.09381964904706819,0.3387659964880243,-0.08367091162480866,-0.019492700838196927,0.6054030461794051,0.6679056316347316,-0.016336277821281744,-0.23009908127597323,-0.10393710279324184,-0.02759615425161145,0.4345454280057135,-0.2470510578239412,-0.025979646943305713,0.8479116189476341,-0.16485629958996503,-0.0027730448404396394,0.2300628634122145,0.30862901782413665,-0.13746974616387658
Non-Profit,-0.11910548583741548,-0.05792755939116167,-0.002107918282967835,-0.0292987741068539,-0.1252026094934907,-0.07504958583234808,-0.11118498726346879,-0.13197615532819512,-0.023720935408682475,0.014005007055281404,-0.014001511585453041,-0.019109196252446847,0.28580221627201174,0.2579894075566422,-0.013640585698157376,0.021466739239271643,-0.07258945710562241,-0.02158004599960972,-0.006394774644054468,-0.08749978330020083,-0.0031606354015889272,-0.03094430671337925,0.0032767185345467242,-0.002724401670270714,0.11045049490069381,0.02797860649659245,-0.05475456357331676
"Oil, Gas, Energy & Utilities",-0.0039863797635905085,-0.034668709981952886,0.024386703723554545,-0.029131656806577165,-0.03771058215338868,0.02369103336278014,0.20882998155097307,0.2567439441128862,0.19248150150034812,0.12084959569611609,-0.06819040235180306,-0.01884821350325673,0.032888199466217516,-0.13555401963750402,-0.012856025489667213,0.0750108403949126,0.20258815511824874,0.005735448991868439,-0.1614541465704712,-0.05959934745000203,-0.025832041548562345,0.023800687242066715,-0.011160230127944704,-0.0027549316534275364,0.10278486665616227,-0.1817264486094175,0.13956977222449846
Real Estate,0.08828708116739725,-0.10438086520558307,-0.0021077524269624134,-0.02934710694512307,0.12991383089098235,-0.0807424907152626,-0.14503822365157001,-0.024842027853415743,-0.08931259041906296,0.118067729636819,0.1745936506533788,0.03364492395678492,0.07961855204286905,0.22570870806536253,-0.0146555988760719,-0.02749367459594987,-0.05061729246686341,-0.024913858007265095,0.2655197711110946,0.0313213539886974,0.015962008110784805,0.10469254262484343,-0.12785935546367252,-0.002761326575815831,0.18522327301412866,0.209063748845299,-0.2271168701818726
"Restaurants, Bars & Food Services",-0.018590102665227315,-0.10947702661999455,-0.0021079714308045224,-0.028412222597163486,-0.14876546546036198,0.025194840175644245,-0.09482179318883033,0.15233760991395723,-0.07449480631490235,0.1463311238516427,0.11221238738795267,-0.019242976831433882,0.07314616022093345,0.142355793578831,-0.013887965960569352,-0.17263491899937794,-0.10148487257343543,0.03146420364189608,0.18227341360867955,-0.02351686162786948,-0.025869960240407188,0.030580909982429183,-0.11383495466131498,-0.002770143050943432,-0.08511477698761327,0.05588441383287679,0.1622762456258272
Retail,0.1279912579728626,0.03291502114435518,-0.0020925385278649147,-0.029048286683231915,0.0694285299752408,0.04106055917105708,0.1294666862633296,0.05816083751619244,0.012803052747525176,0.09574991651639597,0.134669531106519,-0.001044658935034505,0.02436208495452946,0.11025924319551267,-0.013917323056318405,-0.010936295992643091,0.049211968959964464,0.0033889586328376825,0.19446621844654777,-0.06253024786137809,0.05407958484294066,0.009727528810152736,0.06974149399855989,-0.0026061131074169718,0.17354098905043758,0.05659766555690582,0.01490053774423511
Telecommunications,0.14311891103298002,0.03531273296493018,0.029209788775097282,0.0793815140261496,0.3453883226130609,0.1948215044932328,0.15913426131508498,0.12434887942916201,-0.029122154594934183,0.29211035480171177,0.03705543843897405,0.019556192384945766,0.3302974783104081,0.35666046315025585,-0.012058588227166225,0.1803596939502121,0.200894570607287,-0.021393515598563784,0.020392237475883035,0.018727636821416926,-0.02128252866910407,0.14109399488452232,0.18237554411499507,-0.0027743091251733903,0.2018658899677579,0.10360274461739105,0.08732140426384333
Transportation & Logistics,0.08285313621734125,-0.03128287994138866,-0.002107749468610229,-0.029370716528989704,-0.18047191888517897,0.024300669087588406,-0.0847859817517847,-0.04172980276605803,-0.06001773206652621,0.09308236592236852,0.0428204122367975,0.04125139513332808,0.03319469872672981,0.09139814257358975,-0.014521330432835062,-0.08414936461035141,0.004163046817165325,-0.019091844071563023,0.14475277223783312,0.022062349125801406,0.0021481930474455783,0.1950334350765013,-0.09246072630802743,-0.002767771985255131,-0.0017960015949997077,0.12822341750564403,-0.08201634484060913
Travel & Tourism,0.1950520496039161,-0.08356779512945921,-0.002107989839201578,-0.0252480798567185,0.3963544505871181,-0.18672911339238163,-0.03631492126820404,0.42183291403421624,0.11881833666471561,0.12570421282425215,-0.06900796566994848,0.19356659800306678,0.21266364097452373,0.6400402822685802,0.20085706987678104,0.16578248668275739,0.30567824595380516,-0.024800429353995672,0.24821277302744393,-0.22030510789140492,-0.02584663519759069,-0.06759598132904088,0.022638485858184038,-0.0027700042189057537,0.18175142120726062,-0.31316763984641494,-0.27895910236296007
Unknown,-0.05258256561215224,-0.014297869915540704,-0.0008934197148724773,0.0062598826032436855,-0.015098603639147279,-0.006547599708901425,-0.05984101873016512,-0.03505519816231234,-0.027397602835184734,-0.04755937977246394,-0.022071215917358195,-0.013537193810786828,-0.021354376108864592,-0.028512657480271264,0.007511503383221669,0.020425926712601322,-0.016037269859949285,-0.007890408282968834,-0.020787242459618716,0.004695546744488355,-0.0029232403316824043,-0.02226518948321063,-0.01731419195598935,0.002572905288822883,-0.029054377408189058,-0.06415307155226835,-0.04771171015638609
