group_type,group_value,n,mean_residual,median_residual,p10,p90,size_weighted_mean
sector,Transportation & Logistics,36,2203.4768880208335,-2398.796875,-26561.51171875,37964.0859375,12.875372174768708
sector,Travel & Tourism,5,-10352.278125,-11894.59375,-33356.7109375,14730.260937500001,-8.401459280149327
sector,Unknown,899,-433.5259229004449,-4914.046875,-36333.5078125,41366.346875,-63.259179465589995
company_size,1 to 50 employees,897,-489.1806760381828,-5729.609375,-34259.8796875,41155.7546875,-71.22140340955202
company_size,10000+ employees,1368,1773.6613384046052,-2287.5625,-36985.827343749996,43332.17578124999,393.8270915334361
company_size,1001 to 5000 employees,901,147.51829997918978,-4309.8828125,-35045.1484375,41325.1640625,21.573443967091382
company_size,201 to 500 employees,667,-1724.7554582083958,-10085.71875,-35747.528125,38849.2484375,-186.72486457149813
company_size,5001 to 10000 employees,316,-2185.9311090783226,-5707.484375,-36447.9296875,36291.8046875,-112.11722617574256
company_size,501 to 1000 employees,518,-1501.007865287162,-6738.4296875,-35310.23515625,40951.9921875,-126.20062882953253
company_size,51 to 200 employees,983,72.29522189725331,-5122.515625,-34044.0890625,42804.04687500001,11.534848746145107
company_size,Unknown,511,-132.32259050880626,-4268.8203125,-37135.2421875,40461.890625,-10.974978696640155
ownership,government,128,3555.3568115234375,-3885.60546875,-35620.93203125,46338.41015625,73.86555297435481
ownership,nonprofit,491,-2897.3105747199593,-6591.6640625,-36569.5546875,34385.9453125,-230.9007453639831
ownership,private,3232,-333.50194587329827,-6029.65234375,-34340.196875,41325.07421875,-174.95184045812368
ownership,public,1818,909.8141630569307,-3224.8828125,-37433.74609375,42961.49453125,268.46975303319266
ownership,unknown,492,-210.2057768038618,-4229.09765625,-36315.91171875,40277.54375000006,-16.786437621733484
seniority,assistant,15,5906.349479166666,6470.8046875,-17429.0328125,34924.3140625,14.380010093734782
seniority,executive,117,719.7157451923077,-5288.5703125,-30941.0703125,44119.217187500006,13.667706896201915
seniority,junior,312,-2325.9811573517627,-8029.41015625,-40808.428125,41237.89296875003,-117.79031343836228
seniority,lead,309,-864.3181002224919,-5069.9609375,-35285.6625,39257.60937499998,-43.349179186617434
seniority,manager,375,1169.7936875,-5255.3828125,-36838.171875,44397.081250000025,71.20153105218309
seniority,mid,238,-1867.6042706144958,-6868.87890625,-36246.8703125,40371.95859375,-72.14572575981983
seniority,principal,285,1912.7109100877192,-5032.8359375,-37754.612499999996,47599.83593749999,88.47956652734945
seniority,senior,1122,199.66023284313727,-3950.5546875,-35527.196875,39400.009375,36.36078254341828
seniority,supervisor,8,-2691.7666015625,-5662.6875,-23799.715625,21153.102343749997,-3.4952333732348646
seniority,unknown,3380,-123.24344605214498,-4941.9609375,-35237.84921875,42537.36328125,-67.61286279114593
job_title,ML_AI_data_analyst,4,-308.22265625,16599.3828125,-50726.27187499999,36583.7421875,-0.20011209625060866
job_title,ML_AI_data_engineer,126,512.5182911706349,3890.3671875,-37161.09765625,41458.98828125,10.481627120191527
job_title,ML_AI_data_scientist,63,8914.508432539682,8810.5234375,-35521.6328125,50859.156250000015,91.1563108667424
job_title,ML_AI_scientist,29,5371.198275862069,5709.75,-33650.1125,41353.89687499999,25.282381106963157
job_title,business_data_analyst,988,-1957.0772393724696,-8270.12890625,-34963.09375,39400.986718750006,-313.84390723908456
job_title,business_data_engineer,45,-2309.964236111111,-7403.5703125,-33378.1875,35025.9015625,-16.871999776821944
job_title,business_data_scientist,108,2258.9798177083335,9134.57421875,-58342.69609375,43935.155468749996,39.599061891332575
job_title,business_scientist,3,36746.494791666664,20891.7421875,-9398.2265625,89233.1171875,17.893115464210354
job_title,general_data_data_analyst,1807,-625.6828544376037,-8123.890625,-32242.915624999998,42988.22343750002,-183.51061807640804
job_title,general_data_data_engineer,811,-150.06707093865597,-4730.7109375,-33189.0625,40951.9921875,-19.754000086227883
job_title,general_data_data_scientist,1017,884.6065941494592,2839.3359375,-39940.620312499996,41336.228125,146.02254605583508
job_title,general_data_scientist,3,7389.7265625,6512.9375,-2963.5625,18093.73125,3.598308665395228
job_title,health_data_analyst,159,-2373.976955581761,-7426.875,-35328.8796875,27722.059375000008,-61.26640739125143
job_title,health_data_engineer,3,-8545.088541666666,-19726.609375,-24136.565625,11518.996875,-4.160893625223178
job_title,health_data_scientist,84,3139.0823102678573,1520.390625,-41992.84375,43214.79140625,42.79872002312936
job_title,health_scientist,261,1845.155591475096,-3998.359375,-31603.3203125,40647.703125,78.1667926270086
job_title,research_data_analyst,17,-2104.765625,-12529.078125,-24135.703125,42630.4625,-5.8076636300925175
job_title,research_data_scientist,16,-2795.22705078125,-7248.265625,-37759.90234375,37878.6328125,-7.2591515683330625
job_title,research_scientist,515,361.75992111650487,-4223.2109375,-36083.0359375,42162.63125000001,30.239629828761565
job_title,security_data_analyst,51,-511.3350183823529,1794.515625,-30674.7265625,20628.7890625,-4.232768371611751
job_title,security_data_engineer,7,12258.933035714286,10896.8203125,-18274.8890625,41656.10468750002,13.928344627495537
job_title,security_data_scientist,27,5926.230902777777,5836.984375,-30427.2421875,49328.0515625,25.971146627982467
job_title,security_scientist,4,14016.392578125,4786.890625,-11585.1109375,47001.49765625001,9.100076337039441
job_title,sport_data_analyst,8,3423.3564453125,-5845.7890625,-32544.339062499996,46631.52031249999,4.44519583874371
job_title,sport_data_scientist,5,-2562.3015625,-3594.7890625,-17075.471875,10617.046875,-2.0794526558188604
